1000,film,interstellar,2014,Christopher Nolan,8.6,2:49,https://www.youtube.com/watch?v=F6TU69adAzE,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Ellen Burstyn-Matthew McConaughey-Mackenzie Foy-John Lithgow-Timothée Chalamet-David Oyelowo-Collette Wolfe-Francis X. McCarthy-Bill Irwin-Anne Hathaway-Andrew Borba-Wes Bentley-William Devane-Michael Caine-David Gyasi,adventure,episode,subject,company
1001,film,Inception,2010,Christopher Nolan,8.8,2:28,https://www.youtube.com/watch?v=k1ag-9BKtyg,A thief who steals corporate secrets through the use of dream sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Leonardo DiCaprio-Joseph Gordon-Levitt-Elliot Page-Tom Hardy-Ken Watanabe-Dileep Rao-Cillian Murphy-Tom Berenger-Marion Cotillard-Pete Postlethwaite-Michael Caine-Lukas Haas-Tai-Li Lee-Claire Geare-Magnus Nolan,adventure,episode,subject,company
1002,film,The Prestige,2006,Christopher Nolan,8.5,2:10,https://www.youtube.com/watch?v=UDO8S6jGi30,After a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,Hugh Jackman-Christian Bale-Michael Caine-Piper Perabo-Rebecca Hall-Scarlett Johansson-Samantha Mahurin-David Bowie-Andy Serkis-Daniel Davis-Jim Piddock-Christopher Neame-Mark Ryan-Roger Rees-Jamie Harris,adventure,episode,subject,company
1003,series,frog,2020,Houman Seyyedi,8.2,duration,https://www.youtube.com/watch?v=BiT5_mCGvp0,Ramin plans a robbery on his childhood classmate Noori who has become a mysterious rich man and that's just a beginning of a brutal journey.,Saber Abar-Navid Mohammadzadeh-Fereshteh Hosseini-Sahar Dolatshahi-Houman Seyyedi-Abolfazl Ebrahimi-Mohammad Nima Mazaheri-Mohammad Amin Sherbaf,genre,16,subject,company
1004,documentary,radekan,2019,Mahdi Motiei,7.1,1:07,https://www.youtube.com/watch?v=EnCxUENq_i0,Documentary The Radkan Tower,Mahdi Motiei-Sajjad Aemmi-Maryam Boneh,genre,episode,elmi tarikhi,company
